dataset,sample,assembler,assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes
maghini,D01,FLYE,FLYE-D01,4508,4420,3814,3112,1873,1037,260209111,260150361,258244849,253082380,232613430,202533109,4502,5242506,260206726,46.81,182851,57492,238,901,0.00,840 + 23 part
maghini,D01,MEGAHIT,MEGAHIT-D01,240801,53665,9581,4903,1826,739,369921074,275703963,191799366,159215786,111812911,74156305,131563,617594,329153893,47.79,9038,1607,5467,30533,0.00,217 + 83 part
maghini,D01,METAMDBG,METAMDBG-D01,7084,7084,6719,5238,2166,860,296119926,296119926,294773726,282974596,234240902,188854936,7084,7073170,296119926,46.56,115642,30749,292,1729,0.00,878 + 36 part
maghini,D01,SPAdes,SPAdes-D01,567504,54250,9345,4902,1869,755,462160691,278856088,194751734,163966749,116688015,77993839,142363,624796,338620815,47.94,8881,1464,5469,33420,47.15,70 + 35 part
maghini,D01,SPAdesHybrid,SPAdesHybrid-D01,485788,42344,9978,5103,2059,1055,486789799,335942143,271544533,237600175,191191765,155960862,104645,2832500,377819319,47.75,26371,3796,1970,12691,935.75,114 + 30 part
maghini,D02,FLYE,FLYE-D02,4418,4293,3637,3085,2140,1368,350500429,350415586,348449859,344429009,328675554,301154075,4407,4215712,350495455,46.16,273338,92064,230,810,0.00,1167 + 19 part
maghini,D02,MEGAHIT,MEGAHIT-D02,185518,52379,8388,4092,1731,717,325888915,258047758,171664706,142170123,105718199,69830370,109379,505115,297661641,46.78,8471,1849,4818,26379,0.00,154 + 58 part
maghini,D02,METAMDBG,METAMDBG-D02,6232,6232,5996,4959,2601,1263,386075747,386075747,385199941,376926838,338899993,291449334,6232,3926642,386075747,46.10,235895,51451,252,1226,0.00,1194 + 30 part
maghini,D02,SPAdes,SPAdes-D02,386158,51791,8863,4373,1694,700,382958315,262861987,177922550,147143838,105952191,71077674,112210,1232863,304306008,46.82,8833,1892,4908,26143,47.63,45 + 32 part
maghini,D02,SPAdesHybrid,SPAdesHybrid-D02,270274,32343,12059,6564,2309,1049,422666238,347643677,301737062,262729683,197718408,154179339,57397,1951112,364503617,46.66,31829,8488,1760,7720,1211.75,86 + 25 part
maghini,D03,FLYE,FLYE-D03,6943,6805,4619,3175,1548,720,176514155,176418621,169711485,159344501,133687942,104611669,6934,3224340,176510621,47.36,72714,25981,446,1497,0.00,538 + 34 part
maghini,D03,MEGAHIT,MEGAHIT-D03,261067,63069,12000,6343,2286,875,429807983,331187257,233040383,193637690,131045754,82344448,145304,584207,387868699,47.00,9946,1801,6373,32319,0.00,262 + 97 part
maghini,D03,METAMDBG,METAMDBG-D03,6167,6167,5428,3851,1476,590,175920916,175920916,173235248,160990707,124251471,93850197,6167,3330949,175920916,47.09,57400,20795,480,1813,0.00,523 + 35 part
