task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
29	ac/29cc4a	4317759	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D09_run0_raw)	CACHED	0	2026-07-03 19:33:01.310	4m 3s	3m 35s	184.1%	2.1 GB	15.2 GB	4.3 GB	4.8 MB
27	36/249eac	4317775	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D08_run0_raw)	CACHED	0	2026-07-03 19:33:01.564	4m 13s	3m 55s	180.2%	2.2 GB	15.2 GB	4.7 GB	4.7 MB
11	7b/31378e	4317764	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D03_run0)	CACHED	0	2026-07-03 19:33:01.387	4m 43s	4m 36s	435.5%	1.4 GB	2 GB	7.3 GB	7.5 GB
7	58/e272db	4317774	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D02_run0)	CACHED	0	2026-07-03 19:33:01.549	2m 43s	2m 28s	372.3%	1.4 GB	2 GB	3.3 GB	3.4 GB
22	36/a9b615	4317776	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D07)	CACHED	0	2026-07-03 19:33:01.578	37m 18s	36m 57s	100.8%	25 GB	25.7 GB	24.5 GB	18.6 GB
26	9a/eddad5	4317752	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D07_run0)	CACHED	0	2026-07-03 19:33:01.197	8m 43s	8m 38s	461.1%	1.4 GB	1.9 GB	14.9 GB	15.4 GB
19	c6/b7a5d2	4317825	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D06)	CACHED	0	2026-07-03 21:10:04.742	1h 11m 15s	1h 10m 37s	101.7%	44 GB	45.2 GB	48.9 GB	37.3 GB
38	db/8067de	4317779	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D08)	CACHED	0	2026-07-03 19:33:01.626	11m 13s	10m 32s	90.0%	801.8 MB	2 GB	10.5 GB	44 MB
40	12/36ac5d	4317767	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D10)	CACHED	0	2026-07-03 19:33:01.436	4m 13s	3m 47s	91.1%	635 MB	1.8 GB	3.7 GB	38 MB
18	77/aad489	4317761	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D05_run0_raw)	CACHED	0	2026-07-03 19:33:01.341	5m 8s	4m 36s	182.1%	2.2 GB	15.3 GB	5.5 GB	4.7 MB
9	0a/7ec39a	4317783	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D03)	CACHED	0	2026-07-03 19:33:01.683	4m 13s	3m 43s	91.5%	603.4 MB	1.8 GB	3.4 GB	34.6 MB
13	3c/585f1a	4317784	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D04)	CACHED	0	2026-07-03 19:33:01.700	51m 28s	51m 21s	100.3%	31.1 GB	31.8 GB	34.6 GB	26.4 GB
6	e0/8b3547	4317769	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D02_run0_raw)	CACHED	0	2026-07-03 19:33:01.465	3m 13s	2m 42s	181.5%	2.2 GB	15.3 GB	3.3 GB	4.8 MB
17	c9/a18d0d	4317803	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D05)	CACHED	0	2026-07-03 19:43:09.399	1h 10m 10s	1h 9m 43s	101.3%	43.2 GB	44.3 GB	47.8 GB	36.4 GB
15	d9/63a3e5	4317770	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D04_run0_raw)	CACHED	0	2026-07-03 19:33:01.481	8m 13s	7m 57s	171.5%	2.2 GB	15.2 GB	8.9 GB	4.8 MB
5	a8/8cd660	4317787	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D02)	CACHED	0	2026-07-03 19:33:01.745	10m 13s	9m 37s	90.7%	808.3 MB	2 GB	9.1 GB	58.9 MB
8	87/c44dfc	4317785	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D02)	CACHED	0	2026-07-03 19:33:01.717	55m 38s	55m 34s	100.8%	34.8 GB	35.5 GB	37.7 GB	28.7 GB
35	1c/743daa	4317754	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D10)	CACHED	0	2026-07-03 19:33:01.229	24m 48s	24m 7s	101.3%	15 GB	15.6 GB	15 GB	11.4 GB
36	da/ce3c9e	4317780	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D10_run0_raw)	CACHED	0	2026-07-03 19:33:01.640	4m 13s	4m	180.6%	2.4 GB	15.3 GB	4.6 GB	4.8 MB
3	b3/01591d	4317756	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D01_run0_raw)	CACHED	0	2026-07-03 19:33:01.262	4m 3s	3m 36s	183.9%	2.5 GB	15.3 GB	4.4 GB	4.7 MB
1	ef/d7d72e	4317766	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D01)	CACHED	0	2026-07-03 19:33:01.420	6m 53s	6m 27s	89.2%	772.6 MB	1.9 GB	6.2 GB	54.3 MB
34	72/4e7727	4317778	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D07)	CACHED	0	2026-07-03 19:33:01.612	6m 13s	5m 58s	96.5%	873.2 MB	2 GB	6 GB	67.6 MB
24	88/f4688d	4317781	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D07_run0_raw)	CACHED	0	2026-07-03 19:33:01.654	13m 13s	12m 49s	182.2%	2.2 GB	15.3 GB	14.9 GB	4.8 MB
16	55/6cf35d	4317772	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D04)	CACHED	0	2026-07-03 19:33:01.514	8m 13s	8m 1s	94.4%	809.3 MB	2 GB	8.3 GB	44.5 MB
12	1c/57a975	4317758	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D03)	CACHED	0	2026-07-03 19:33:01.295	22m 3s	21m 53s	101.9%	13.8 GB	14.5 GB	13.9 GB	10.6 GB
39	82/835b8a	4317765	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D09)	CACHED	0	2026-07-03 19:33:01.403	9m 13s	8m 44s	88.3%	982.9 MB	2.1 GB	8.1 GB	79.4 MB
25	d1/e3c627	4317800	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D08)	CACHED	0	2026-07-03 19:40:19.397	1h 4m 20s	1h 4m 11s	100.8%	38.5 GB	39.6 GB	43.8 GB	33.4 GB
10	df/0f45c7	4317782	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D03_run0_raw)	CACHED	0	2026-07-03 19:33:01.667	7m 13s	6m 25s	178.1%	2.4 GB	15.3 GB	7.3 GB	4.8 MB
32	5e/b4daeb	4317786	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D06)	CACHED	0	2026-07-03 19:33:01.731	12m 23s	12m 9s	92.5%	848 MB	2 GB	11.8 GB	62.7 MB
21	f8/c0f9b1	4317771	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D06_run0_raw)	CACHED	0	2026-07-03 19:33:01.497	6m 13s	5m 41s	176.2%	2.3 GB	15.3 GB	6.6 GB	4.7 MB
2	57/ef6f29	4317773	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D01_run0)	CACHED	0	2026-07-03 19:33:01.531	3m 43s	3m 5s	394.6%	1.4 GB	2 GB	4.4 GB	4.5 GB
4	cd/e3f640	4317748	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D01)	CACHED	0	2026-07-03 19:33:01.119	38m 48s	38m 10s	100.8%	24.5 GB	25.2 GB	25.3 GB	19.2 GB
37	39/68a0de	4317755	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D10_run0)	CACHED	0	2026-07-03 19:33:01.244	3m 38s	3m 16s	398.8%	1.4 GB	2 GB	4.6 GB	4.7 GB
33	a4/92d5a6	4317762	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D09_run0)	CACHED	0	2026-07-03 19:33:01.357	3m 38s	3m 5s	390.1%	1.4 GB	2 GB	4.3 GB	4.4 GB
31	66/56deb8	4317753	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D08_run0)	CACHED	0	2026-07-03 19:33:01.212	3m 38s	3m 13s	398.2%	1.4 GB	1.9 GB	4.7 GB	4.8 GB
28	e5/753e26	4317777	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D05)	CACHED	0	2026-07-03 19:33:01.596	12m 13s	11m 34s	90.6%	1.1 GB	2.3 GB	11.5 GB	64.6 MB
30	96/9c4fba	4317768	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D09)	CACHED	0	2026-07-03 19:33:01.449	50m 3s	49m 46s	100.9%	33.2 GB	33.9 GB	33.5 GB	25.5 GB
14	51/fc7ac2	4317750	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D04_run0)	CACHED	0	2026-07-03 19:33:01.164	5m 38s	5m 34s	436.9%	1.4 GB	2 GB	8.9 GB	9.2 GB
20	52/8b7804	4317751	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D05_run0)	CACHED	0	2026-07-03 19:33:01.182	4m 13s	3m 49s	408.9%	1.4 GB	2 GB	5.6 GB	5.7 GB
23	d4/738808	4317757	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D06_run0)	CACHED	0	2026-07-03 19:33:01.279	4m 43s	4m 15s	418.2%	1.4 GB	1.9 GB	6.6 GB	6.8 GB
47	e6/89ad42	4317804	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D03)	CACHED	0	2026-07-03 19:55:04.457	15m 5s	14m 38s	114.8%	33 MB	890.7 MB	20.5 GB	16.1 GB
43	ef/36b55b	4317811	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D04)	CACHED	0	2026-07-03 20:24:29.544	40m 5s	39m 52s	117.0%	43.1 MB	922.7 MB	53.1 GB	42.4 GB
48	27/82f34d	4317818	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D08)	CACHED	0	2026-07-03 20:44:39.649	53m 15s	53m 9s	114.1%	77.6 MB	794.7 MB	68.1 GB	54.8 GB
41	ed/0ef730	4317807	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D07)	CACHED	0	2026-07-03 20:10:20.447	24m 59s	24m 38s	115.9%	33.7 MB	922.7 MB	35.9 GB	27.8 GB
42	ec/43aa4b	4317836	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D06)	CACHED	0	2026-07-03 22:21:19.929	57m 5s	56m 51s	114.8%	35.9 MB	890.7 MB	75.4 GB	60.4 GB
44	66/dfc599	4317820	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D05)	CACHED	0	2026-07-03 20:53:19.650	56m 10s	55m 54s	117.0%	53.5 MB	858.7 MB	73.5 GB	59 GB
46	e6/ed716d	4317805	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D10)	CACHED	0	2026-07-03 19:57:49.461	16m 10s	15m 30s	114.7%	29.3 MB	890.7 MB	22 GB	17.1 GB
49	1f/7fde46	4317808	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D01)	CACHED	0	2026-07-03 20:11:49.503	27m 15s	26m 54s	115.3%	53 MB	866.7 MB	37.5 GB	29.3 GB
45	fe/e1b855	4317813	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D02)	CACHED	0	2026-07-03 20:28:39.560	42m 45s	42m 20s	117.3%	46.7 MB	922.7 MB	57.4 GB	45.6 GB
50	cb/d09711	4317810	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (D09)	CACHED	0	2026-07-03 20:23:04.543	34m 5s	33m 42s	116.0%	29.6 MB	922.7 MB	49 GB	37.8 GB
53	9d/732949	4317833	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_FILTERED (D08)	CACHED	0	2026-07-03 21:37:54.764	9m 5s	9m 3s	98.2%	562 MB	1.7 GB	9.9 GB	28.3 MB
57	42/1ea822	4317809	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_FILTERED (D10)	CACHED	0	2026-07-03 20:13:59.511	3m 5s	2m 43s	97.7%	447.5 MB	1.6 GB	3 GB	15 MB
