task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	work_dir	disk_bytes	disk_human	n_files	n_symlinks
29	ac/29cc4a	4317759	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D09_run0_raw)	CACHED	0	2026-07-03 19:33:01.310	4m 3s	3m 35s	184.1%	2.1 GB	15.2 GB	4.3 GB	4.8 MB	work/ac/29cc4a17d53a9a03a846dedf5ee4ac	3178496	3.0 MB	13	4
27	36/249eac	4317775	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D08_run0_raw)	CACHED	0	2026-07-03 19:33:01.564	4m 13s	3m 55s	180.2%	2.2 GB	15.2 GB	4.7 GB	4.7 MB	work/36/249eacdc559cfac98a87b0cd88752d	3162112	3.0 MB	13	4
11	7b/31378e	4317764	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D03_run0)	CACHED	0	2026-07-03 19:33:01.387	4m 43s	4m 36s	435.5%	1.4 GB	2 GB	7.3 GB	7.5 GB	work/7b/31378e14784c927d78c2fd0db48621	8093700096	7.5 GB	14	4
7	58/e272db	4317774	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D02_run0)	CACHED	0	2026-07-03 19:33:01.549	2m 43s	2m 28s	372.3%	1.4 GB	2 GB	3.3 GB	3.4 GB	work/58/e272dbf2c1bc52fd92e07c3d1fb8a4	3609468928	3.4 GB	14	4
22	36/a9b615	4317776	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D07)	CACHED	0	2026-07-03 19:33:01.578	37m 18s	36m 57s	100.8%	25 GB	25.7 GB	24.5 GB	18.6 GB	work/36/a9b6152ba19e71a9ac26d467d36ffb	6295171072	5.9 GB	11	1
26	9a/eddad5	4317752	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D07_run0)	CACHED	0	2026-07-03 19:33:01.197	8m 43s	8m 38s	461.1%	1.4 GB	1.9 GB	14.9 GB	15.4 GB	work/9a/eddad5364cc65c7df0b2b3d5857710	16565657600	15.4 GB	14	4
19	c6/b7a5d2	4317825	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D06)	CACHED	0	2026-07-03 21:10:04.742	1h 11m 15s	1h 10m 37s	101.7%	44 GB	45.2 GB	48.9 GB	37.3 GB	work/c6/b7a5d2890bccf86015efd510cf0496	12424720384	11.6 GB	11	1
38	db/8067de	4317779	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D08)	CACHED	0	2026-07-03 19:33:01.626	11m 13s	10m 32s	90.0%	801.8 MB	2 GB	10.5 GB	44 MB	work/db/8067de5ad468ee876a31ef75ed520b	2195456	2.1 MB	20	1
40	12/36ac5d	4317767	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D10)	CACHED	0	2026-07-03 19:33:01.436	4m 13s	3m 47s	91.1%	635 MB	1.8 GB	3.7 GB	38 MB	work/12/36ac5d1f9de91b0bcf8745036b0ef3	2129920	2.0 MB	20	1
18	77/aad489	4317761	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D05_run0_raw)	CACHED	0	2026-07-03 19:33:01.341	5m 8s	4m 36s	182.1%	2.2 GB	15.3 GB	5.5 GB	4.7 MB	work/77/aad4894e3cce55dd63201dbc86c9a4	3162112	3.0 MB	13	4
9	0a/7ec39a	4317783	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D03)	CACHED	0	2026-07-03 19:33:01.683	4m 13s	3m 43s	91.5%	603.4 MB	1.8 GB	3.4 GB	34.6 MB	work/0a/7ec39ad43e800c5f8a562999692595	2125824	2.0 MB	20	1
13	3c/585f1a	4317784	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D04)	CACHED	0	2026-07-03 19:33:01.700	51m 28s	51m 21s	100.3%	31.1 GB	31.8 GB	34.6 GB	26.4 GB	work/3c/585f1ae9c6cbc0c44b31a03f857f01	8781373440	8.2 GB	11	1
6	e0/8b3547	4317769	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (D02_run0_raw)	CACHED	0	2026-07-03 19:33:01.465	3m 13s	2m 42s	181.5%	2.2 GB	15.3 GB	3.3 GB	4.8 MB	work/e0/8b35476706c53fa45ee8463cd0a6c0	3194880	3.0 MB	13	4
