dataset,experiment,sample,assembler,quast_assembly_id,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,# predicted rRNA genes (complete),# predicted rRNA genes (partial),report_path
maghini,hybrid,D01,FLYE,FLYE-D01,4590,4507,3863,3174,1902,1050,260952198,260893035,258869482,253861569,232894494,202528794,4588,5243805,260951529,46.84,174159,56128,239,922,0.0,856 + 14 part,856,14,maghini/10.processing/results_hybrid/Assembly/FLYE/QC/D01/QUAST/report.tsv
maghini,hybrid,D01,MEGAHIT,MEGAHIT-D01,240801,53665,9581,4903,1826,739,369921074,275703963,191799366,159215786,111812911,74156305,131563,617594,329153893,47.79,9038,1607,5467,30533,0.0,217 + 83 part,217,83,maghini/10.processing/results_hybrid/Assembly/MEGAHIT/QC/D01/QUAST/report.tsv
maghini,hybrid,D01,METAMDBG,METAMDBG-D01,7083,7083,6710,5229,2168,857,296019228,296019228,294641326,282810534,234259224,188681224,7083,7072706,296019228,46.55,115912,30728,291,1728,0.0,871 + 35 part,871,35,maghini/10.processing/results_hybrid/Assembly/METAMDBG/QC/D01/QUAST/report.tsv
maghini,hybrid,D01,SPAdes,SPAdes-D01,567504,54250,9345,4902,1869,755,462160691,278856088,194751734,163966749,116688015,77993839,142363,624796,338620815,47.94,8881,1464,5469,33420,47.15,70 + 35 part,70,35,maghini/10.processing/results_hybrid/Assembly/SPAdes/QC/D01/QUAST/report.tsv
maghini,hybrid,D01,SPAdesHybrid,SPAdesHybrid-D01,485788,42344,9978,5103,2059,1055,486789799,335942143,271544533,237600175,191191765,155960862,104645,2832500,377819319,47.75,26371,3796,1970,12691,935.75,114 + 30 part,114,30,maghini/10.processing/results_hybrid/Assembly/SPAdesHybrid/QC/D01/QUAST/report.tsv
maghini,hybrid,D02,FLYE,FLYE-D02,4381,4251,3600,3045,2125,1357,349317659,349229145,347309348,343247066,328022849,300528144,4372,4229518,349313763,46.19,276861,93655,234,802,0.0,1121 + 19 part,1121,19,maghini/10.processing/results_hybrid/Assembly/FLYE/QC/D02/QUAST/report.tsv
maghini,hybrid,D02,MEGAHIT,MEGAHIT-D02,185518,52379,8388,4092,1731,717,325888915,258047758,171664706,142170123,105718199,69830370,109379,505115,297661641,46.78,8471,1849,4818,26379,0.0,154 + 58 part,154,58,maghini/10.processing/results_hybrid/Assembly/MEGAHIT/QC/D02/QUAST/report.tsv
maghini,hybrid,D02,METAMDBG,METAMDBG-D02,6234,6234,5994,4971,2602,1260,386288523,386288523,385397527,377235332,338997218,291543429,6234,3926575,386288523,46.1,238248,51397,249,1224,0.0,1197 + 29 part,1197,29,maghini/10.processing/results_hybrid/Assembly/METAMDBG/QC/D02/QUAST/report.tsv
maghini,hybrid,D02,SPAdes,SPAdes-D02,386158,51791,8863,4373,1694,700,382958315,262861987,177922550,147143838,105952191,71077674,112210,1232863,304306008,46.82,8833,1892,4908,26143,47.63,45 + 32 part,45,32,maghini/10.processing/results_hybrid/Assembly/SPAdes/QC/D02/QUAST/report.tsv
maghini,hybrid,D02,SPAdesHybrid,SPAdesHybrid-D02,270274,32343,12059,6564,2309,1049,422666238,347643677,301737062,262729683,197718408,154179339,57397,1951112,364503617,46.66,31829,8488,1760,7720,1211.75,86 + 25 part,86,25,maghini/10.processing/results_hybrid/Assembly/SPAdesHybrid/QC/D02/QUAST/report.tsv
