task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
25	36/a9b615	4317776	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D07)	CACHED	0	2026-07-03 19:33:01.578	37m 18s	36m 57s	100.8%	25 GB	25.7 GB	24.5 GB	18.6 GB
12	1c/57a975	4317758	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D03)	CACHED	0	2026-07-03 19:33:01.295	22m 3s	21m 53s	101.9%	13.8 GB	14.5 GB	13.9 GB	10.6 GB
21	c6/b7a5d2	4317825	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D06)	CACHED	0	2026-07-03 21:10:04.742	1h 11m 15s	1h 10m 37s	101.7%	44 GB	45.2 GB	48.9 GB	37.3 GB
13	3c/585f1a	4317784	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D04)	CACHED	0	2026-07-03 19:33:01.700	51m 28s	51m 21s	100.3%	31.1 GB	31.8 GB	34.6 GB	26.4 GB
10	0a/7ec39a	4317783	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D03)	CACHED	0	2026-07-03 19:33:01.683	4m 13s	3m 43s	91.5%	603.4 MB	1.8 GB	3.4 GB	34.6 MB
24	72/4e7727	4317778	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D07)	CACHED	0	2026-07-03 19:33:01.612	6m 13s	5m 58s	96.5%	873.2 MB	2 GB	6 GB	67.6 MB
6	a8/8cd660	4317787	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D02)	CACHED	0	2026-07-03 19:33:01.745	10m 13s	9m 37s	90.7%	808.3 MB	2 GB	9.1 GB	58.9 MB
4	cd/e3f640	4317748	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D01)	CACHED	0	2026-07-03 19:33:01.119	38m 48s	38m 10s	100.8%	24.5 GB	25.2 GB	25.3 GB	19.2 GB
28	db/8067de	4317779	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D08)	CACHED	0	2026-07-03 19:33:01.626	11m 13s	10m 32s	90.0%	801.8 MB	2 GB	10.5 GB	44 MB
31	82/835b8a	4317765	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D09)	CACHED	0	2026-07-03 19:33:01.403	9m 13s	8m 44s	88.3%	982.9 MB	2.1 GB	8.1 GB	79.4 MB
8	87/c44dfc	4317785	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D02)	CACHED	0	2026-07-03 19:33:01.717	55m 38s	55m 34s	100.8%	34.8 GB	35.5 GB	37.7 GB	28.7 GB
29	d1/e3c627	4317800	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D08)	CACHED	0	2026-07-03 19:40:19.397	1h 4m 20s	1h 4m 11s	100.8%	38.5 GB	39.6 GB	43.8 GB	33.4 GB
37	1c/743daa	4317754	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D10)	CACHED	0	2026-07-03 19:33:01.229	24m 48s	24m 7s	101.3%	15 GB	15.6 GB	15 GB	11.4 GB
17	c9/a18d0d	4317803	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D05)	CACHED	0	2026-07-03 19:43:09.399	1h 10m 10s	1h 9m 43s	101.3%	43.2 GB	44.3 GB	47.8 GB	36.4 GB
15	51/fc7ac2	4317750	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D04_run0)	CACHED	0	2026-07-03 19:33:01.164	5m 38s	5m 34s	436.9%	1.4 GB	2 GB	8.9 GB	9.2 GB
14	55/6cf35d	4317772	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D04)	CACHED	0	2026-07-03 19:33:01.514	8m 13s	8m 1s	94.4%	809.3 MB	2 GB	8.3 GB	44.5 MB
33	96/9c4fba	4317768	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D09)	CACHED	0	2026-07-03 19:33:01.449	50m 3s	49m 46s	100.9%	33.2 GB	33.9 GB	33.5 GB	25.5 GB
22	5e/b4daeb	4317786	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D06)	CACHED	0	2026-07-03 19:33:01.731	12m 23s	12m 9s	92.5%	848 MB	2 GB	11.8 GB	62.7 MB
1	ef/d7d72e	4317766	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D01)	CACHED	0	2026-07-03 19:33:01.420	6m 53s	6m 27s	89.2%	772.6 MB	1.9 GB	6.2 GB	54.3 MB
36	12/36ac5d	4317767	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D10)	CACHED	0	2026-07-03 19:33:01.436	4m 13s	3m 47s	91.1%	635 MB	1.8 GB	3.7 GB	38 MB
18	e5/753e26	4317777	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D05)	CACHED	0	2026-07-03 19:33:01.596	12m 13s	11m 34s	90.6%	1.1 GB	2.3 GB	11.5 GB	64.6 MB
30	66/56deb8	4317753	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D08_run0)	CACHED	0	2026-07-03 19:33:01.212	3m 38s	3m 13s	398.2%	1.4 GB	1.9 GB	4.7 GB	4.8 GB
38	39/68a0de	4317755	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D10_run0)	CACHED	0	2026-07-03 19:33:01.244	3m 38s	3m 16s	398.8%	1.4 GB	2 GB	4.6 GB	4.7 GB
34	a4/92d5a6	4317762	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D09_run0)	CACHED	0	2026-07-03 19:33:01.357	3m 38s	3m 5s	390.1%	1.4 GB	2 GB	4.3 GB	4.4 GB
19	52/8b7804	4317751	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D05_run0)	CACHED	0	2026-07-03 19:33:01.182	4m 13s	3m 49s	408.9%	1.4 GB	2 GB	5.6 GB	5.7 GB
26	9a/eddad5	4317752	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D07_run0)	CACHED	0	2026-07-03 19:33:01.197	8m 43s	8m 38s	461.1%	1.4 GB	1.9 GB	14.9 GB	15.4 GB
7	58/e272db	4317774	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (D02_run0)	CACHED	0	2026-07-03 19:33:01.549	2m 43s	2m 28s	372.3%	1.4 GB	2 GB	3.3 GB	3.4 GB
