task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	work_dir	disk_bytes	disk_human	n_files	n_symlinks
25	36/a9b615	4317776	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D07)	CACHED	0	2026-07-03 19:33:01.578	37m 18s	36m 57s	100.8%	25 GB	25.7 GB	24.5 GB	18.6 GB	work/36/a9b6152ba19e71a9ac26d467d36ffb	6295171072	5.9 GB	11	1
12	1c/57a975	4317758	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D03)	CACHED	0	2026-07-03 19:33:01.295	22m 3s	21m 53s	101.9%	13.8 GB	14.5 GB	13.9 GB	10.6 GB	work/1c/57a975ff2a51820a340f0ff284481d	3565002752	3.3 GB	11	1
21	c6/b7a5d2	4317825	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D06)	CACHED	0	2026-07-03 21:10:04.742	1h 11m 15s	1h 10m 37s	101.7%	44 GB	45.2 GB	48.9 GB	37.3 GB	work/c6/b7a5d2890bccf86015efd510cf0496	12424720384	11.6 GB	11	1
13	3c/585f1a	4317784	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D04)	CACHED	0	2026-07-03 19:33:01.700	51m 28s	51m 21s	100.3%	31.1 GB	31.8 GB	34.6 GB	26.4 GB	work/3c/585f1ae9c6cbc0c44b31a03f857f01	8781373440	8.2 GB	11	1
10	0a/7ec39a	4317783	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D03)	CACHED	0	2026-07-03 19:33:01.683	4m 13s	3m 43s	91.5%	603.4 MB	1.8 GB	3.4 GB	34.6 MB	work/0a/7ec39ad43e800c5f8a562999692595	2125824	2.0 MB	20	1
24	72/4e7727	4317778	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D07)	CACHED	0	2026-07-03 19:33:01.612	6m 13s	5m 58s	96.5%	873.2 MB	2 GB	6 GB	67.6 MB	work/72/4e7727abaaee86b9f8c6b06daa5247	2183168	2.1 MB	20	1
6	a8/8cd660	4317787	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D02)	CACHED	0	2026-07-03 19:33:01.745	10m 13s	9m 37s	90.7%	808.3 MB	2 GB	9.1 GB	58.9 MB	work/a8/8cd660c2b0ba8ee6bf0112c502c66a	2183168	2.1 MB	20	1
4	cd/e3f640	4317748	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (D01)	CACHED	0	2026-07-03 19:33:01.119	38m 48s	38m 10s	100.8%	24.5 GB	25.2 GB	25.3 GB	19.2 GB	work/cd/e3f640354a20275bef93813d8e671b	6454243328	6.0 GB	11	1
28	db/8067de	4317779	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D08)	CACHED	0	2026-07-03 19:33:01.626	11m 13s	10m 32s	90.0%	801.8 MB	2 GB	10.5 GB	44 MB	work/db/8067de5ad468ee876a31ef75ed520b	2195456	2.1 MB	20	1
31	82/835b8a	4317765	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (D09)	CACHED	0	2026-07-03 19:33:01.403	9m 13s	8m 44s	88.3%	982.9 MB	2.1 GB	8.1 GB	79.4 MB	work/82/835b8af3cf4655cf5b167e7db1ae88	2179072	2.1 MB	20	1
