dataset,experiment,sample,assembler,quast_assembly_id,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,# predicted rRNA genes (complete),# predicted rRNA genes (partial),report_path
maghini,polish,D01,FLYE,FLYE-D01,4590,4507,3863,3173,1902,1050,260830967,260771834,258749164,253734286,232792957,202451349,4588,5243376,260830300,46.81,174010,56118,239,922,0.0,859 + 12 part,859,12,maghini/10.processing/results_polish/Assembly/FLYE/QC/D01/QUAST/report.tsv
maghini,polish,D01,METAMDBG,METAMDBG-D01,7083,7083,6713,5232,2168,857,296071416,296071416,294707991,282888951,234293714,188703783,7083,7072903,296071416,46.56,115930,30728,291,1728,0.0,875 + 36 part,875,36,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D01/QUAST/report.tsv
maghini,polish,D02,FLYE,FLYE-D02,4381,4251,3600,3043,2125,1357,349240604,349152103,347232781,343151625,327952208,300466532,4372,4226705,349236711,46.17,276724,93614,234,802,0.0,1124 + 19 part,1124,19,maghini/10.processing/results_polish/Assembly/FLYE/QC/D02/QUAST/report.tsv
maghini,polish,D02,METAMDBG,METAMDBG-D02,6234,6234,5994,4972,2602,1260,386319951,386319951,385428837,377275499,339022841,291564591,6234,3926643,386319951,46.1,238271,51349,249,1225,0.0,1198 + 29 part,1198,29,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D02/QUAST/report.tsv
maghini,polish,D03,FLYE,FLYE-D03,6907,6773,4604,3110,1532,751,176720725,176631059,169999213,159293052,134316319,107028890,6895,3224345,176716136,47.35,75503,26306,445,1463,0.0,519 + 23 part,519,23,maghini/10.processing/results_polish/Assembly/FLYE/QC/D03/QUAST/report.tsv
maghini,polish,D03,METAMDBG,METAMDBG-D03,6162,6162,5429,3855,1475,589,175944669,175944669,173282678,161047726,124242402,93859450,6162,3286546,175944669,47.08,57509,20807,479,1813,0.0,525 + 36 part,525,36,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D03/QUAST/report.tsv
maghini,polish,D04,FLYE,FLYE-D04,7793,7572,6532,5507,3625,2071,457980087,457828895,454702416,447178988,416267896,360775055,7779,3305414,457974422,47.59,156289,59682,544,1757,0.0,1481 + 46 part,1481,46,maghini/10.processing/results_polish/Assembly/FLYE/QC/D04/QUAST/report.tsv
maghini,polish,D04,METAMDBG,METAMDBG-D04,11470,11470,10850,8718,4247,1863,522990370,522990370,520671378,503747406,431922760,348260218,11470,3306602,522990370,47.56,112411,35285,654,2920,0.0,1635 + 63 part,1635,63,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D04/QUAST/report.tsv
maghini,polish,D05,FLYE,FLYE-D05,4731,4645,3999,3243,2057,1185,316666574,316608720,314596289,309026227,289415369,258166396,4727,3352610,316664877,48.41,245438,72328,212,845,0.0,1053 + 16 part,1053,16,maghini/10.processing/results_polish/Assembly/FLYE/QC/D05/QUAST/report.tsv
maghini,polish,D05,METAMDBG,METAMDBG-D05,6625,6625,6269,4917,2182,974,346771491,346771491,345441932,334578070,291377817,249150499,6625,3658932,346771491,48.34,262548,41457,197,1214,0.0,1104 + 39 part,1104,39,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D05/QUAST/report.tsv
maghini,polish,D06,FLYE,FLYE-D06,4527,4404,3678,3036,1909,1077,306321536,306235018,304017438,299311060,280644900,251064186,4524,3967558,306320522,47.66,289103,74633,166,731,0.0,1113 + 23 part,1113,23,maghini/10.processing/results_polish/Assembly/FLYE/QC/D06/QUAST/report.tsv
maghini,polish,D06,METAMDBG,METAMDBG-D06,6406,6406,6064,4767,2168,959,342709424,342709424,341441032,331074912,289636462,247042558,6406,5069471,342709424,47.6,261971,42127,174,1178,0.0,1138 + 31 part,1138,31,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D06/QUAST/report.tsv
maghini,polish,D07,FLYE,FLYE-D07,8817,8630,6057,4158,2050,1013,257550964,257424104,249617027,235784867,202366392,166154322,8803,3378177,257545368,47.93,101140,29895,469,1715,0.0,710 + 22 part,710,22,maghini/10.processing/results_polish/Assembly/FLYE/QC/D07/QUAST/report.tsv
maghini,polish,D07,METAMDBG,METAMDBG-D07,7691,7691,6648,4630,1902,805,250201246,250201246,246392466,230745486,188568852,150107779,7691,3082336,250201246,47.57,88933,25463,428,1866,0.0,738 + 30 part,738,30,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D07/QUAST/report.tsv
maghini,polish,D08,FLYE,FLYE-D08,4179,4076,3630,3086,2090,1336,369956938,369886166,368520990,364423055,347870167,320963670,4174,4542147,369954935,46.9,331677,102029,204,736,0.0,1272 + 24 part,1272,24,maghini/10.processing/results_polish/Assembly/FLYE/QC/D08/QUAST/report.tsv
maghini,polish,D08,METAMDBG,METAMDBG-D08,6630,6630,6324,5100,2668,1322,419387237,419387237,418235850,408348539,369597554,322093346,6630,5202489,419387237,46.68,269942,55162,232,1179,0.0,1395 + 42 part,1395,42,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D08/QUAST/report.tsv
maghini,polish,D09,FLYE,FLYE-D09,5203,5040,4209,3451,2213,1292,329083782,328977322,326539422,320989936,300642974,267932491,5190,3989617,329078448,46.47,225155,70851,252,937,0.0,1029 + 22 part,1029,22,maghini/10.processing/results_polish/Assembly/FLYE/QC/D09/QUAST/report.tsv
maghini,polish,D09,METAMDBG,METAMDBG-D09,7022,7022,6567,5069,2284,960,363598100,363598100,361910700,349945820,305707936,259374074,7022,4927937,363598100,46.51,282109,40883,191,1257,0.0,1209 + 37 part,1209,37,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D09/QUAST/report.tsv
maghini,polish,D10,FLYE,FLYE-D10,5356,5255,3793,2701,1384,676,184141182,184072068,179652485,171790153,150792430,125865924,5351,4981333,184139185,45.65,132470,36578,243,965,0.0,544 + 31 part,544,31,maghini/10.processing/results_polish/Assembly/FLYE/QC/D10/QUAST/report.tsv
maghini,polish,D10,METAMDBG,METAMDBG-D10,5104,5104,4604,3403,1423,626,184666033,184666033,182825289,173448514,142004171,114039341,5104,4974774,184666033,45.42,90403,27413,298,1290,0.0,584 + 29 part,584,29,maghini/10.processing/results_polish/Assembly/METAMDBG/QC/D10/QUAST/report.tsv
