stage,process,granularity,n_tasks,cpu_hours,cpu_hours_range,cpu_hours_total,peak_rss_gb,peak_rss_gb_range,realtime_h,realtime_h_range,workdir_gb,workdir_gb_range
Short-read preprocessing,BOWTIE2_PHIX_REMOVAL_ALIGN,per sample,11,10.03,6.42-32.08,139.5,0.09,0.06-0.13,1.35,0.87-4.45,5.31,3.11-14.26
Short-read preprocessing,FASTP,per sample,11,0.26,0.15-0.66,3.5,1.4,1.4-1.4,0.07,0.04-0.14,5.72,3.36-15.43
Short-read preprocessing,FASTQC_RAW,per sample,11,0.14,0.08-0.36,1.8,2.4,1.7-2.9,0.08,0.04-0.2,0.0,0.0-0.0
Short-read preprocessing,FASTQC_TRIMMED,per sample,11,0.13,0.08-0.38,1.8,2.3,1.9-2.6,0.07,0.04-0.2,0.0,0.0-0.0
Short-read preprocessing,BOWTIE2_PHIX_REMOVAL_BUILD,once per run,2,0.0,0.0-0.0,0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.01,0.01-0.01
Long-read preprocessing,PORECHOP_ABI,per sample,11,0.85,0.37-3.38,11.4,33.2,13.8-57.9,0.85,0.36-2.09,8.18,3.32-15.19
Long-read preprocessing,CHOPPER,per sample,11,0.76,0.28-1.53,8.5,0.02,0.01-0.07,0.66,0.24-1.42,7.49,2.76-14.85
Long-read preprocessing,NANOPLOT_RAW,per sample,11,0.13,0.05-0.18,1.4,0.81,0.59-1.3,0.14,0.06-0.2,0.0,0.0-0.0
Long-read preprocessing,NANOPLOT_FILTERED,per sample,11,0.11,0.04-0.17,1.2,0.53,0.42-0.65,0.12,0.05-0.18,0.0,0.0-0.0
Short-read assembly,METASPADES,per sample,11,36.01,24.13-112.54,518.4,42.1,34.9-110.1,6.05,4.06-18.03,13.26,9.92-26.07
Short-read assembly,MEGAHIT,per sample,11,14.11,10.21-31.26,201.2,9.3,5.4-24.4,1.99,1.45-4.34,1.62,1.13-3.28
Short-read assembly,GUNZIP_SHORTREAD_ASSEMBLIES,per sample,33,0.0,0.0-0.0,0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.43,0.27-0.83
Hybrid assembly,METASPADESHYBRID,per sample,11,54.76,34.61-107.24,672.7,42.1,34.9-116.0,9.01,5.95-17.62,13.49,9.95-26.1
Hybrid assembly,POOL_LONG_READS,per sample,11,0.0,0.0-0.0,0.0,0.01,0.01-0.01,0.02,0.0-0.03,7.49,2.76-14.85
Long-read assembly,FLYE,per sample,11,18.79,6.95-36.91,205.2,27.7,12.9-40.0,2.8,1.1-5.46,4.77,2.71-8.19
Long-read assembly,METAMDBG_ASM,per sample,11,21.4,5.18-25.82,184.4,7.7,7.2-9.9,3.21,0.82-4.04,0.09,0.05-0.18
Long-read assembly,GUNZIP_LONGREAD_ASSEMBLIES,per sample,22,0.0,0.0-0.0,0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.32,0.16-0.62
Assembly polishing (pypolca),PYPOLCA_RUN,per sample,22,3.44,2.11-9.4,95.6,4.6,4.6-4.6,2.15,1.39-5.83,1.13,0.68-2.92
Assembly QC (QUAST),QUAST,per assembly,55,0.07,0.04-0.16,4.5,0.86,0.46-6.0,0.08,0.05-0.16,0.0,0.0-0.0
Assembly QC (ALE),ALE,per assembly,33,0.64,0.32-2.33,24.7,8.9,5.6-16.8,0.65,0.32-2.48,0.0,0.0-0.0
Read mapping + depth,BOWTIE2_ASSEMBLY_ALIGN,per assembly,33,5.61,3.02-18.75,242.4,7.8,7.3-9.2,0.84,0.42-2.81,3.45,2.2-9.11
