task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	ca/2294f2	4349155	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (zymo_fecal)	CACHED	0	2026-07-30 17:01:53.613	2h 5m 29s	2h 5m 20s	162.0%	57.9 GB	58.3 GB	75.4 GB	61 GB
1	e3/ea5e42	4349154	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (zymo_fecal)	CACHED	0	2026-07-30 17:01:53.593	12m 13s	11m 33s	91.5%	603.4 MB	1.8 GB	14.9 GB	32.7 MB
3	65/f3674c	4349156	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (zymo_fecal_run0_raw)	CACHED	0	2026-07-30 17:01:53.637	6m 8s	5m 46s	184.8%	1.7 GB	15.3 GB	8 GB	3.7 MB
4	ac/57a540	4349153	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (zymo_fecal_run0)	CACHED	0	2026-07-30 17:01:53.570	6m 3s	5m 26s	535.3%	1.4 GB	1.9 GB	8 GB	7.8 GB
5	95/410675	4349199	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (zymo_fecal)	CACHED	0	2026-07-30 19:07:22.229	1h 25m 25s	1h 25m 7s	107.8%	68.1 MB	370.6 MB	136.6 GB	105.6 GB
8	16/32f339	4349230	NFCORE_MAG:MAG:ASSEMBLY:LONGREAD_ASSEMBLY:METAMDBG_ASM (zymo_fecal)	CACHED	0	2026-07-30 20:32:47.521	3h 44m 51s	3h 44m 29s	621.4%	9.9 GB	10.7 GB	556.7 GB	192.3 GB
6	d3/5869c1	4349228	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_FILTERED (zymo_fecal)	CACHED	0	2026-07-30 20:32:47.488	11m 5s	10m 44s	96.1%	542.6 MB	1.7 GB	15 GB	26.5 MB
9	e0/b8d9af	4349403	NFCORE_MAG:MAG:ASSEMBLY:GUNZIP_LONGREAD_ASSEMBLIES (METAMDBG-zymo_fecal)	CACHED	0	2026-07-31 00:17:38.191	1m 40s	5.5s	76.4%	4.8 MB	8.1 MB	184.2 MB	639.6 MB
10	5b/892fb5	4349167	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz)	CACHED	0	2026-07-30 17:07:56.896	4.9s	0ms	57.7%	2.8 MB	11 MB	2.6 MB	8 MB
7	0a/ee27cf	4349231	NFCORE_MAG:MAG:ASSEMBLY:LONGREAD_ASSEMBLY:FLYE (zymo_fecal)	CACHED	0	2026-07-30 20:32:47.539	5h 28m 1s	5h 27m 46s	675.7%	40 GB	42 GB	409 GB	123.8 GB
12	1e/1ef7bb	4349873	NFCORE_MAG:MAG:ASSEMBLY:GUNZIP_LONGREAD_ASSEMBLIES (FLYE-zymo_fecal)	CACHED	0	2026-07-31 02:00:48.570	34.9s	4.6s	79.2%	4.9 MB	8.1 MB	163 MB	537.4 MB
11	92/07e14c	4349168	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN (zymo_fecal_run0)	CACHED	0	2026-07-30 17:08:01.917	1h 55m 15s	1h 55m 2s	744.0%	135.7 MB	1.1 GB	110 GB	143.2 GB
13	93/806739	4349196	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED (zymo_fecal_run0)	CACHED	0	2026-07-30 19:03:17.221	5m 40s	5m 15s	195.8%	1.9 GB	15.3 GB	7.3 GB	3.7 MB
16	2a/5f9e80	4349229	NFCORE_MAG:MAG:ASSEMBLY:POOL_LONG_READS (zymo_fecal)	CACHED	0	2026-07-30 20:32:47.506	1m 5s	34.8s	43.5%	5.8 MB	8.7 MB	14.8 GB	14.8 GB
18	88/71cf84	4349874	NFCORE_MAG:MAG:PYPOLCA_RUN (FLYE-zymo_fecal)	CACHED	0	2026-07-31 02:01:23.537	4h 35m 56s	3h 45m 51s	153.6%	4.6 GB	5.7 GB	86.1 GB	72.6 GB
17	e4/4f5b05	4349406	NFCORE_MAG:MAG:PYPOLCA_RUN (METAMDBG-zymo_fecal)	CACHED	0	2026-07-31 00:19:18.192	3h 40m 36s	3h 34m 5s	157.4%	4.6 GB	5.7 GB	87.6 GB	73.5 GB
20	e5/c44038	4350894	NFCORE_MAG:MAG:BINNING_PREPARATION:LONGREAD_BINNING_PREPARATION:MINIMAP2_ASSEMBLY_INDEX (FLYE-zymo_fecal)	CACHED	0	2026-07-31 09:37:49.947	2h 15s	17s	131.3%	3.8 GB	4.1 GB	537.3 MB	1.6 GB
24	1a/74d38e	4350891	NFCORE_MAG:MAG:PRODIGAL (FLYE-zymo_fecal)	CACHED	0	2026-07-31 09:35:24.949	3h 14m 11s	1h 11m 4s	98.6%	106.4 MB	2.4 GB	3.4 GB	3.6 GB
21	2f/6fa52d	4350475	NFCORE_MAG:MAG:BINNING_PREPARATION:LONGREAD_BINNING_PREPARATION:MINIMAP2_ASSEMBLY_INDEX (METAMDBG-zymo_fecal)	CACHED	0	2026-07-31 04:17:29.006	47m 50s	21s	124.5%	4 GB	4.2 GB	649.8 MB	1.9 GB
15	de/c12d94	4349197	NFCORE_MAG:MAG:ASSEMBLY:SHORTREAD_ASSEMBLY:MEGAHIT (zymo_fecal)	CACHED	0	2026-07-30 19:03:17.242	4h 6m 51s	4h 6m 39s	720.2%	11.4 GB	11.4 GB	170.2 GB	84.4 GB
