task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	work_dir	disk_bytes	disk_human	n_files	n_symlinks
4	fa/d6b93b	4317745	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (zymo_fecal_run0)	CACHED	0	2026-07-03 19:33:00.120	6m 3s	5m 28s	526.7%	1.4 GB	1.9 GB	8 GB	7.8 GB	work/fa/d6b93bf9ac1c6e74ad9b6bea82a2aa	8342720512	7.8 GB	14	4
1	5f/6ce44e	4317747	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (zymo_fecal_run0_raw)	CACHED	0	2026-07-03 19:33:00.151	6m 13s	5m 29s	194.9%	1.7 GB	15.3 GB	8 GB	3.7 MB	work/5f/6ce44e62825c82edf9d61869dfbb4f	2117632	2.0 MB	13	4
2	5b/bc387c	4317746	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_RAW (zymo_fecal)	CACHED	0	2026-07-03 19:33:00.136	11m 8s	10m 51s	96.0%	600.4 MB	1.8 GB	14.9 GB	32.7 MB	work/5b/bc387cfa8998c701f59792a4975386	2351104	2.2 MB	19	1
3	0a/7369f0	4317802	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:PORECHOP_ABI (zymo_fecal)	CACHED	0	2026-07-03 19:43:03.504	1h 53m 40s	1h 53m 33s	181.7%	58 GB	58.8 GB	75.4 GB	61 GB	work/0a/7369f0953c4af223d647c6ae25f63c	16314826752	15.2 GB	11	1
5	da/8f9085	4317829	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:CHOPPER (zymo_fecal)	CACHED	0	2026-07-03 21:36:43.895	1h 24m 10s	1h 23m 38s	109.2%	123 MB	922.7 MB	136.6 GB	105.6 GB	work/da/8f90855310d4d9d4f634bb0d10d5a7	15943319552	14.8 GB	10	2
6	86/4f3303	4317837	NFCORE_MAG:MAG:LONGREAD_PREPROCESSING:NANOPLOT_FILTERED (zymo_fecal)	CACHED	0	2026-07-03 23:00:54.180	11m 5s	10m 31s	99.2%	538.7 MB	1.7 GB	15 GB	26.5 MB	work/86/4f3303541643fd315854bfa4434257	2326528	2.2 MB	19	1
8	f6/cf03c5	4317840	NFCORE_MAG:MAG:ASSEMBLY:LONGREAD_ASSEMBLY:METAMDBG_ASM (zymo_fecal)	CACHED	0	2026-07-03 23:00:54.220	3h 4m 25s	3h 3m 58s	872.2%	9.9 GB	10.9 GB	556.7 GB	192.2 GB	work/f6/cf03c5c26fe8b09f16574bfc37041a	194097152	185.1 MB	11	1
7	9d/33f0bd	4317839	NFCORE_MAG:MAG:ASSEMBLY:LONGREAD_ASSEMBLY:FLYE (zymo_fecal)	CACHED	0	2026-07-03 23:00:54.208	4h 4m 31s	4h 3m 54s	938.2%	42.6 GB	44.7 GB	409.5 GB	123.7 GB	work/9d/33f0bdb2e25110433a7730b49bb758	8804855808	8.2 GB	46	1
9	4f/a71bf7	4317953	NFCORE_MAG:MAG:ASSEMBLY:GUNZIP_LONGREAD_ASSEMBLIES (METAMDBG-zymo_fecal.contigs.fasta.gz)	CACHED	0	2026-07-04 02:05:19.732	13m 40s	5.9s	72.9%	4.9 MB	8.1 MB	184.3 MB	639.7 MB	work/4f/a71bf7cc178b30df1af8b4525461c1	670789632	639.7 MB	10	1
11	18/5e9365	4318025	NFCORE_MAG:MAG:ASSEMBLY:GUNZIP_LONGREAD_ASSEMBLIES (FLYE-zymo_fecal.assembly.fasta.gz)	CACHED	0	2026-07-04 03:05:25.004	34.9s	4.6s	79.8%	4.7 MB	8.1 MB	163.1 MB	537.4 MB	work/18/5e9365910c4a93766fe4f69e4d31fd	563539968	537.4 MB	10	1
10	79/74ee62	4317798	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz)	CACHED	0	2026-07-03 19:39:03.590	4.9s	0ms	47.7%	2.7 MB	11 MB	2.6 MB	8 MB	work/79/74ee6234aba393d0e17e0128866269	8466432	8.1 MB	15	1
