bin	Depth zymo_fecal	Input_file_busco	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scores_archaea_odb12_busco	Scores_bacteria_odb12_busco	Scores_eukaryota_odb12_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco	Internal stop codon percent_busco	Name_checkm2	Completeness_checkm2	Contamination_checkm2	Completeness_Model_Used_checkm2	Translation_Table_Used_checkm2	Coding_Density_checkm2	Genome_Size_checkm2	Total_Coding_Sequences_checkm2	Name	Assembly_quast	# contigs (>= 0 bp)_quast	# contigs (>= 1000 bp)_quast	# contigs (>= 5000 bp)_quast	# contigs (>= 10000 bp)_quast	# contigs (>= 25000 bp)_quast	# contigs (>= 50000 bp)_quast	Total length (>= 0 bp)_quast	Total length (>= 1000 bp)_quast	Total length (>= 5000 bp)_quast	Total length (>= 10000 bp)_quast	Total length (>= 25000 bp)_quast	Total length (>= 50000 bp)_quast	# contigs_quast	Largest contig_quast	Total length_quast	GC (%)_quast	N50_quast	N75_quast	L50_quast	L75_quast	# N's per 100 kbp_quast	# predicted rRNA genes_quast	user_genome_gtdbtk	classification_gtdbtk	closest_genome_reference_gtdbtk	closest_genome_reference_radius_gtdbtk	closest_genome_taxonomy_gtdbtk	closest_genome_ani_gtdbtk	closest_genome_af_gtdbtk	closest_placement_reference_gtdbtk	closest_placement_radius_gtdbtk	closest_placement_taxonomy_gtdbtk	closest_placement_ani_gtdbtk	closest_placement_af_gtdbtk	pplacer_taxonomy_gtdbtk	classification_method_gtdbtk	note_gtdbtk	other_related_references(genome_id,species_name,radius,ANI,AF)_gtdbtk	msa_percent_gtdbtk	translation_table_gtdbtk	red_value_gtdbtk	warnings_gtdbtk
FLYE-COMEBin-zymo_fecal.0.fa	9.17571	FLYE-COMEBin-zymo_fecal.0.fa	eukaryota_odb12	3.4	2.6	0.9	1.7	94.8	116.0	11	C:2.6%[S:2.1%,D:0.5%],F:0.5%,M:96.9%,n:195	C:3.4%[S:2.6%,D:0.9%],F:1.7%,M:94.8%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:129	56108.0	56108	0.000%	33.0		FLYE-COMEBin-zymo_fecal.0.fa	18.12	3.32	Neural Network (Specific Model)	11	0.887	1077474	1100	FLYE-COMEBin-zymo_fecal.0	FLYE-COMEBin-zymo_fecal.0.fa	33	33	26	23	15	6	1077474	1077474	1056487	1030151	870703	580501	33	265672	1077474	48.88	56108	27682	6	13	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.0.fa																			
FLYE-COMEBin-zymo_fecal.10008.fa	19.25185	FLYE-COMEBin-zymo_fecal.10008.fa	eukaryota_odb12	4.3	4.3	0.0	0.0	95.7	116.0	11	C:2.1%[S:2.1%,D:0.0%],F:0.0%,M:97.9%,n:195	C:4.3%[S:4.3%,D:0.0%],F:0.0%,M:95.7%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	78124.0	78124	0.000%	16.0		FLYE-COMEBin-zymo_fecal.10008.fa	14.37	0.07	Neural Network (Specific Model)	11	0.921	1031798	726	FLYE-COMEBin-zymo_fecal.10008	FLYE-COMEBin-zymo_fecal.10008.fa	16	16	16	16	12	7	1031798	1031798	1031798	1031798	952942	793283	16	228006	1031798	42.33	78124	63639	4	7	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10008.fa																			
FLYE-COMEBin-zymo_fecal.10024.fa	5.087335	FLYE-COMEBin-zymo_fecal.10024.fa	eukaryota_odb12	1.7	0.9	0.9	2.6	95.7	116.0	11	C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:195	C:1.7%[S:0.9%,D:0.9%],F:2.6%,M:95.7%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	94424.0	94424	0.000%	20.0		FLYE-COMEBin-zymo_fecal.10024.fa	12.97	0.2	Neural Network (Specific Model)	11	0.89	525063	625	FLYE-COMEBin-zymo_fecal.10024	FLYE-COMEBin-zymo_fecal.10024.fa	20	20	16	7	3	2	525063	525063	513319	452362	381317	331444	20	237020	525063	36.97	94424	24896	2	4	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10024.fa																			
FLYE-COMEBin-zymo_fecal.10044.fa	5.724864999999999	FLYE-COMEBin-zymo_fecal.10044.fa	eukaryota_odb12	0.9	0.9	0.0	0.9	98.3	116.0	11	C:0.5%[S:0.0%,D:0.5%],F:0.0%,M:99.5%,n:195	C:0.9%[S:0.9%,D:0.0%],F:0.9%,M:98.3%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	49292.0	49292	0.000%	18.0		FLYE-COMEBin-zymo_fecal.10044.fa	14.62	0.24	Neural Network (Specific Model)	11	0.863	589127	647	FLYE-COMEBin-zymo_fecal.10044	FLYE-COMEBin-zymo_fecal.10044.fa	18	18	15	14	7	3	589127	589127	577290	569594	457821	282841	18	113339	589127	42.92	49292	32504	4	7	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10044.fa																			
FLYE-COMEBin-zymo_fecal.10062.fa	9.45275	FLYE-COMEBin-zymo_fecal.10062.fa	lachnospiraceae_odb12	73.9	71.4	2.5	0.7	25.5	444.0	11	C:11.8%[S:10.8%,D:1.0%],F:3.6%,M:84.6%,n:195	C:78.4%[S:75.0%,D:3.4%],F:4.3%,M:17.2%,n:116	C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.7%,n:129,E:50.0%	197868.0	197868	0.000%	26.0		FLYE-COMEBin-zymo_fecal.10062.fa	70.46	2.59	Neural Network (Specific Model)	11	0.892	2625515	2465	FLYE-COMEBin-zymo_fecal.10062	FLYE-COMEBin-zymo_fecal.10062.fa	26	26	26	21	16	13	2625515	2625515	2625515	2590768	2521550	2417593	26	483959	2625515	48.86	197868	113323	4	8	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10062.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	GCF_000225345.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	98.32	0.729							ani_screen	classification based on ANI only	GCA_902781225.1, s__Roseburia sp902781225, 95.0, 94.92, 0.662				
FLYE-COMEBin-zymo_fecal.10088.fa	11.0713	FLYE-COMEBin-zymo_fecal.10088.fa	lachnospiraceae_odb12	98.6	97.5	1.1	0.5	0.9	444.0	11	C:22.6%[S:19.5%,D:3.1%],F:3.1%,M:74.4%,n:195	C:98.3%[S:94.0%,D:4.3%],F:0.9%,M:0.9%,n:116	C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.7%,n:129,E:50.0%	449181.0	449181	0.000%	15.0		FLYE-COMEBin-zymo_fecal.10088.fa	99.07	3.48	Neural Network (Specific Model)	11	0.874	2840796	2663	FLYE-COMEBin-zymo_fecal.10088	FLYE-COMEBin-zymo_fecal.10088.fa	15	15	15	14	12	10	2840796	2840796	2840796	2835233	2802858	2715408	15	545161	2840796	41.48	449181	177434	3	6	0.0	17 + 0 part	FLYE-COMEBin-zymo_fecal.10088.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	GCF_025150085.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	98.69	0.83							ani_screen	classification based on ANI only	GCA_050873945.1, s__Dorea_A sp050873945, 95.0, 88.47, 0.335; GCA_934295165.1, s__Dorea_A sp934295165, 95.0, 87.18, 0.316; GCA_934309195.1, s__Dorea_A sp934309195, 95.0, 89.28, 0.453; GCF_025567265.1, s__Dorea_A amylophila, 95.0, 90.98, 0.475; GCA_900550865.1, s__Dorea_A sp900550865, 95.0, 89.75, 0.462; GCA_934294775.1, s__Dorea_A sp934294775, 95.0, 85.98, 0.196; GCA_963595255.1, s__Dorea_A sp963595255, 95.0, 94.89, 0.684; GCA_019421265.1, s__Dorea_A sp019421265, 95.0, 89.94, 0.274				
FLYE-COMEBin-zymo_fecal.10103.fa	13.1982	FLYE-COMEBin-zymo_fecal.10103.fa	eukaryota_odb12	22.4	22.4	0.0	2.6	75.0	116.0	11	C:6.2%[S:6.2%,D:0.0%],F:1.5%,M:92.3%,n:195	C:22.4%[S:22.4%,D:0.0%],F:2.6%,M:75.0%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:129,E:100.0%	473067.0	473067	0.000%	3.0		FLYE-COMEBin-zymo_fecal.10103.fa	23.43	0.0	Neural Network (Specific Model)	11	0.89	797372	794	FLYE-COMEBin-zymo_fecal.10103	FLYE-COMEBin-zymo_fecal.10103.fa	3	3	3	3	2	2	797372	797372	797372	797372	784695	784695	3	473067	797372	40.98	473067	311628	1	2	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10103.fa																			
FLYE-COMEBin-zymo_fecal.10106.fa	3.7067	FLYE-COMEBin-zymo_fecal.10106.fa	varicellovirus_odb10	0.0	0.0	0.0	1.7	98.3	116.0	11	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:195	C:0.0%[S:0.0%,D:0.0%],F:1.7%,M:98.3%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	222517.0	222517	0.000%	2.0		FLYE-COMEBin-zymo_fecal.10106.fa	4.49	0.0	Neural Network (Specific Model)	11	0.899	243848	236	FLYE-COMEBin-zymo_fecal.10106	FLYE-COMEBin-zymo_fecal.10106.fa	2	2	2	2	1	1	243848	243848	243848	243848	222517	222517	2	222517	243848	32.96	222517	222517	1	1	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10106.fa																			
FLYE-COMEBin-zymo_fecal.10108.fa	18.6863	FLYE-COMEBin-zymo_fecal.10108.fa	blautia_odb12	48.1	48.0	0.1	0.4	51.5	1047.0	11	C:13.3%[S:12.3%,D:1.0%],F:3.1%,M:83.6%,n:195	C:62.9%[S:62.1%,D:0.9%],F:5.2%,M:31.9%,n:116	C:0.8%[S:0.8%,D:0.0%],F:1.6%,M:97.7%,n:129,E:100.0%	125162.0	125162	0.000%	17.0		FLYE-COMEBin-zymo_fecal.10108.fa	37.67	0.6	Neural Network (Specific Model)	11	0.857	1439948	1294	FLYE-COMEBin-zymo_fecal.10108	FLYE-COMEBin-zymo_fecal.10108.fa	17	17	17	15	13	12	1439948	1439948	1439948	1425176	1394928	1365405	17	258026	1439948	43.31	125162	85618	5	8	0.0	6 + 0 part	FLYE-COMEBin-zymo_fecal.10108.fa																			
FLYE-COMEBin-zymo_fecal.10125.fa	10.8698	FLYE-COMEBin-zymo_fecal.10125.fa	lachnospiraceae_odb12	84.9	83.6	1.4	0.0	15.1	444.0	11	C:21.5%[S:20.0%,D:1.5%],F:2.1%,M:76.4%,n:195	C:67.2%[S:63.8%,D:3.4%],F:0.9%,M:31.9%,n:116	C:1.6%[S:0.8%,D:0.8%],F:1.6%,M:96.9%,n:129	662516.0	662516	0.000%	14.0		FLYE-COMEBin-zymo_fecal.10125.fa	87.51	2.22	Neural Network (Specific Model)	11	0.888	3555190	3192	FLYE-COMEBin-zymo_fecal.10125	FLYE-COMEBin-zymo_fecal.10125.fa	14	14	14	13	13	9	3555190	3555190	3555190	3550105	3550105	3396364	14	780766	3555190	42.62	662516	265006	3	5	0.0	13 + 0 part	FLYE-COMEBin-zymo_fecal.10125.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	GCF_900537995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	98.95	0.83							ani_screen	classification based on ANI only	GCA_003483745.1, s__Roseburia sp003483745, 95.0, 90.96, 0.536; GCF_014287515.2, s__Roseburia rectibacter, 95.0, 91.08, 0.532; GCA_934317215.1, s__Roseburia sp934317215, 95.0, 94.39, 0.627				
